iter	Passed	Remaining
565	2421	1856
566	2425	1852
567	2429	1847
568	2433	1843
569	2437	1838
570	2442	1834
571	2446	1830
572	2450	1826
573	2454	1821
574	2458	1817
575	2462	1812
576	2467	1808
577	2471	1804
578	2475	1799
579	2478	1795
580	2482	1790
581	2486	1785
582	2490	1781
583	2495	1777
584	2500	1773
585	2504	1769
586	2509	1765
587	2513	1761
588	2517	1756
589	2521	1752
590	2526	1748
591	2530	1743
592	2534	1739
593	2538	1735
594	2543	1731
595	2547	1727
596	2552	1722
597	2556	1718
598	2560	1714
599	2565	1710
600	2570	1706
601	2573	1701
602	2579	1697
603	2583	1693
604	2587	1689
605	2592	1685
606	2596	1680
607	2600	1676
608	2605	1672
609	2609	1668
610	2613	1663
611	2617	1659
612	2621	1655
613	2626	1651
614	2630	1647
615	2635	1642
616	2640	1638
617	2644	1634
618	2648	1630
619	2652	1625
620	2656	1621
621	2660	1616
622	2664	1612
623	2668	1608
624	2673	1604
625	2677	1599
626	2681	1595
627	2686	1591
628	2691	1587
629	2695	1582
630	2698	1578
631	2702	1573
632	2706	1569
633	2710	1564
634	2715	1560
635	2720	1556
636	2724	1552
637	2728	1548
638	2732	1543
639	2736	1539
640	2740	1535
641	2744	1530
642	2749	1526
643	2753	1522
644	2757	1517
645	2762	1513
646	2767	1509
647	2771	1505
648	2775	1501
649	2779	1496
650	2784	1493
651	2789	1488
652	2792	1484
653	2796	1479
654	2801	1475
655	2805	1471
656	2809	1466
657	2813	1462
658	2818	1458
659	2823	1454
660	2827	1449
661	2831	1445
662	2835	1441
663	2838	1436
664	2843	1432
665	2847	1427
666	2851	1423
667	2856	1419
668	2860	1415
669	2864	1410
670	2868	1406
671	2873	1402
672	2877	1398
673	2882	1394
674	2886	1389
675	2891	1385
676	2894	1381
677	2899	1376
678	2902	1372
679	2907	1368
680	2911	1363
681	2916	1359
682	2920	1355
683	2925	1351
684	2929	1347
685	2933	1342
686	2938	1338
687	2941	1334
688	2945	1329
689	2950	1325
690	2954	1321
691	2958	1316
692	2962	1312
693	2967	1308
694	2972	1304
695	2976	1300
696	2981	1295
697	2986	1292
698	2990	1287
699	2994	1283
700	2998	1278
701	3003	1274
702	3007	1270
703	3011	1266
704	3015	1261
705	3021	1258
706	3025	1253
707	3029	1249
708	3033	1245
709	3038	1241
710	3043	1237
711	3046	1232
712	3050	1227
713	3055	1223
714	3059	1219
715	3063	1215
716	3067	1210
717	3073	1207
718	3077	1202
719	3082	1198
720	3087	1194
721	3091	1190
722	3095	1185
723	3099	1181
724	3104	1177
725	3107	1172
726	3112	1168
727	3119	1165
728	3124	1161
729	3130	1157
730	3136	1154
731	3140	1149
732	3145	1145
733	3151	1142
734	3155	1137
735	3160	1133
736	3165	1129
737	3169	1125
738	3174	1121
739	3180	1117
740	3184	1112
741	3187	1108
742	3191	1103
743	3194	1099
744	3198	1094
745	3202	1090
746	3207	1086
747	3211	1082
748	3216	1077
749	3220	1073
750	3224	1069
751	3228	1064
752	3232	1060
753	3237	1056
754	3241	1051
755	3245	1047
756	3249	1043
757	3253	1038
758	3258	1034
759	3262	1030
760	3266	1025
761	3270	1021
762	3273	1016
763	3278	1012
764	3282	1008
765	3285	1003
766	3289	999
767	3293	994
768	3297	990
769	3300	985
770	3305	981
771	3309	977
772	3314	973
773	3318	968
774	3322	964
775	3326	960
776	3331	956
777	3334	951
778	3338	947
779	3342	942
780	3346	938
781	3350	934
782	3354	929
783	3358	925
784	3362	920
785	3366	916
786	3370	912
787	3374	907
788	3378	903
789	3383	899
790	3388	895
791	3393	891
792	3397	886
793	3400	882
794	3404	877
795	3408	873
796	3412	869
797	3416	864
798	3420	860
799	3424	856
800	3428	851
801	3433	847
802	3437	843
803	3441	839
804	3446	834
805	3499	842
806	3503	837
807	3506	833
808	3511	829
809	3515	824
810	3519	820
811	3524	815
812	3528	811
813	3532	807
814	3540	803
815	3546	799
816	3551	795
817	3555	791
818	3559	786
819	3563	782
820	3568	777
821	3571	773
822	3576	769
823	3580	764
824	3584	760
825	3588	755
826	3592	751
827	3596	747
828	3600	742
829	3604	738
830	3608	733
831	3612	729
832	3616	725
833	3621	720
834	3625	716
835	3629	712
836	3633	707
837	3637	703
838	3641	698
839	3645	694
840	3649	690
841	3654	685
842	3658	681
843	3662	676
844	3666	672
845	3670	668
846	3675	663
847	3679	659
848	3683	655
849	3686	650
850	3689	646
851	3693	641
852	3698	637
853	3702	632
854	3705	628
855	3709	624
856	3713	619
857	3717	615
858	3721	610
859	3725	606
860	3729	602
861	3733	597
862	3737	593
863	3741	588
864	3744	584
865	3748	580
866	3752	575
867	3756	571
868	3760	566
869	3764	562
870	3768	558
871	3772	553
872	3776	549
873	3780	545
874	3784	540
875	3788	536
876	3792	531
877	3796	527
878	3801	523
879	3806	519
880	3811	514
881	3815	510
882	3820	506
883	3824	501
884	3828	497
885	3832	493
886	3837	488
887	3841	484
888	3845	480
889	3849	475
890	3854	471
891	3857	467
892	3862	462
893	3866	458
894	3870	454
895	3875	449
896	3878	445
897	3882	441
898	3886	436
899	3890	432
900	3894	427
901	3898	423
902	3902	419
903	3906	414
904	3910	410
905	3914	406
906	3918	401
907	3922	397
908	3926	393
909	3931	388
910	3935	384
911	3939	380
912	3943	375
913	3947	371
914	3951	367
915	3956	362
916	3960	358
917	3964	354
918	3968	349
919	3972	345
920	3976	341
921	3979	336
922	3984	332
923	3988	328
924	3993	323
925	3997	319
926	4000	315
927	4004	310
928	4009	306
929	4013	302
930	4016	297
931	4020	293
932	4024	288
933	4027	284
934	4031	280
935	4035	275
936	4039	271
937	4043	267
938	4047	262
939	4051	258
940	4056	254
941	4060	249
942	4063	245
943	4067	241
944	4071	236
945	4075	232
946	4080	228
947	4084	224
948	4088	219
949	4092	215
950	4097	211
951	4101	206
952	4105	202
953	4109	198
954	4114	193
955	4118	189
956	4122	185
957	4126	180
958	4130	176
959	4134	172
960	4139	167
961	4144	163
962	4147	159
963	4152	155
964	4155	150
965	4159	146
966	4164	142
967	4168	137
968	4172	133
969	4176	129
970	4181	124
971	4185	120
972	4189	116
973	4194	111
974	4198	107
975	4202	103
976	4206	99
977	4210	94
978	4214	90
979	4218	86
980	4223	81
981	4227	77
982	4231	73
983	4235	68
984	4240	64
985	4243	60
986	4248	55
987	4252	51
988	4256	47
989	4260	43
990	4264	38
991	4268	34
992	4272	30
993	4277	25
994	4280	21
995	4285	17
996	4289	12
997	4293	8
998	4297	4
999	4301	0
