iter	Logloss
200	0.3754494117
201	0.3749873573
202	0.374436675
203	0.3739358923
204	0.3726967611
205	0.3722818303
206	0.3715163688
207	0.3707695932
208	0.3702754555
209	0.3694304944
210	0.3684932246
211	0.3676847065
212	0.3669246384
213	0.3661528929
214	0.3652690845
215	0.3645899558
216	0.3638660379
217	0.3628624258
218	0.3619703692
219	0.3612350783
220	0.3607451416
221	0.3601695089
222	0.3593773155
223	0.3588018913
224	0.357851677
225	0.3572965078
226	0.3566028735
227	0.35610259
228	0.3555107361
229	0.3548678276
230	0.3538759983
231	0.3531561758
232	0.3526872393
233	0.3521208107
234	0.3514759697
235	0.3507729213
236	0.3499753916
237	0.3490476171
238	0.3484438429
239	0.3480433523
240	0.3471497915
241	0.3467289899
242	0.3459501269
243	0.3454745838
244	0.3450093598
245	0.3441641602
246	0.3435175456
247	0.343213959
248	0.3422770623
249	0.3416189405
250	0.3410754498
251	0.3404064948
252	0.3397219655
253	0.3392240066
254	0.3386178503
255	0.3379878202
256	0.3371653697
257	0.3365086132
258	0.3358653769
259	0.3353724404
260	0.3347408893
261	0.3342241118
262	0.3335777772
263	0.3328259908
264	0.33206908
265	0.3316371296
266	0.331096712
267	0.3307305782
268	0.3301632312
269	0.3297100132
270	0.3290842042
271	0.3286957163
272	0.3279052227
273	0.3275258303
274	0.327029678
275	0.3263097236
276	0.3259617055
277	0.325477951
278	0.3248724132
279	0.3243471419
280	0.3240349075
281	0.3235385246
282	0.3223779239
283	0.3218914039
284	0.3212961593
285	0.3206841481
286	0.3199931132
287	0.3192987744
288	0.3188789404
289	0.3182538339
290	0.3177979018
291	0.3172922835
292	0.3167557695
293	0.315919693
294	0.3154705254
295	0.3147841059
296	0.3142701588
297	0.3136324731
298	0.3132178526
299	0.3125731256
300	0.3121912165
301	0.3116923155
302	0.3112534393
303	0.3106712625
304	0.3102377498
305	0.3097126144
306	0.3093289064
307	0.3085834794
308	0.3080837069
309	0.3073898593
310	0.3069015451
311	0.3065060594
312	0.3060509154
313	0.3054060936
314	0.3050281992
315	0.3045672252
316	0.3041105268
317	0.3032943653
318	0.3027638329
319	0.3020711991
320	0.3016493022
321	0.3009820841
322	0.3006079438
323	0.30015971
324	0.2997682107
325	0.2991931263
326	0.2987983865
327	0.2985114564
328	0.2977936957
329	0.2972848679
330	0.2968034407
331	0.2962536061
332	0.2958821909
333	0.2952393151
334	0.2947772535
335	0.2940406435
336	0.2934960831
337	0.2931140017
338	0.2926902041
339	0.2922858911
340	0.2916005191
341	0.2911357477
342	0.2906149315
343	0.2900775397
344	0.2895796345
345	0.289150693
346	0.2887869126
347	0.288311576
348	0.2878983244
349	0.2873024153
350	0.2867158748
351	0.2862140048
352	0.2856146404
353	0.2853011589
354	0.2847669797
355	0.2843096295
356	0.2837881326
357	0.2833637314
358	0.2825721011
359	0.2821210828
360	0.2818841613
361	0.2815254157
362	0.2811973949
363	0.2805565256
364	0.27999373
365	0.2794004428
366	0.2788929275
367	0.2784398257
368	0.27782978
369	0.2770708681
370	0.2764885899
371	0.2760254062
372	0.2755012169
373	0.2751406261
374	0.2747690299
375	0.2743618501
376	0.2740012048
377	0.2735178309
378	0.273181384
379	0.2727806078
380	0.272405261
381	0.2719927402
382	0.2716862433
383	0.271114992
384	0.2707708779
385	0.2704243343
386	0.2697896131
387	0.2690643884
388	0.2687608987
389	0.26834963
390	0.2678883832
391	0.267447001
392	0.2668909039
393	0.266439541
394	0.2659566856
395	0.2655125834
396	0.2651735817
397	0.2648193631
398	0.2642028946
399	0.2636601523
400	0.2633343239
401	0.2628285944
402	0.2622283371
403	0.2619398559
404	0.2616385381
405	0.2613683492
406	0.260949776
407	0.2601500499
408	0.259915793
409	0.2596250113
410	0.2591866182
411	0.2587687907
412	0.2583525103
413	0.2579124915
414	0.2574930002
415	0.2569094215
416	0.2565897668
417	0.2561622741
418	0.2559112679
419	0.2553399729
420	0.2549265091
421	0.2546598481
422	0.2542005876
423	0.2538949421
424	0.2532843916
425	0.2530222045
426	0.2526233536
427	0.2523526044
428	0.2520694109
429	0.2517263442
430	0.2512778989
431	0.2509046108
432	0.2506155375
433	0.2501367038
434	0.2497503733
435	0.249479081
436	0.2492108745
437	0.24868635
438	0.2481689386
439	0.2477333161
440	0.2473317373
441	0.246843866
442	0.2464210949
443	0.246169536
444	0.2458684201
445	0.2453834891
446	0.2448477473
447	0.2445052423
448	0.2441733286
449	0.2437017945
450	0.2432148789
451	0.2427229888
452	0.242142398
453	0.2418694871
454	0.2415225845
455	0.2411207568
456	0.2406825063
457	0.2403539264
458	0.2397590153
459	0.239352437
460	0.238962998
461	0.2387601827
462	0.2383156365
463	0.2379770081
464	0.2375388692
465	0.2371188212
466	0.2368798569
467	0.236341711
468	0.2359545416
469	0.2355400598
470	0.235277582
471	0.2349690965
472	0.2346441337
473	0.2342697965
474	0.2338836352
475	0.233509211
476	0.233271075
477	0.2330609308
478	0.2326930571
479	0.232392759
480	0.2319855259
481	0.2315574603
482	0.231175935
483	0.2308437185
484	0.2304279186
485	0.2301265834
486	0.2296807193
487	0.2293754753
488	0.2288601189
489	0.2284012581
490	0.22803202
491	0.227408497
492	0.227117845
493	0.2268102185
494	0.2264905452
495	0.2261262487
496	0.2256341534
497	0.2252134196
498	0.2249699346
499	0.2246091729
500	0.2243071494
501	0.2239335404
502	0.2235806825
503	0.2232292731
504	0.2230689166
505	0.2228320228
506	0.2224503597
507	0.2221905789
508	0.2219190675
509	0.2215016506
510	0.2213447183
511	0.2209234788
512	0.2205825801
513	0.2202272285
514	0.2197231529
515	0.2194646353
516	0.2192315739
517	0.2190432989
518	0.2187503305
519	0.2183818401
520	0.2181183653
521	0.2179134505
522	0.2175313394
523	0.2172358455
524	0.216887067
525	0.2164401564
526	0.2162354923
527	0.2158280265
528	0.2154533762
529	0.2151432324
530	0.2147215157
531	0.2144182235
532	0.2141819313
533	0.2137520616
534	0.2134154185
535	0.2131035613
536	0.212731507
537	0.2124009481
538	0.2120792898
539	0.2117068073
540	0.2113369006
541	0.2110664484
542	0.2106101565
543	0.210160299
544	0.2098143542
545	0.2094761511
546	0.2092343025
547	0.2090118392
548	0.2086888892
549	0.2083808182
550	0.207881218
551	0.2075104298
552	0.207239812
553	0.2069637372
554	0.2065763623
555	0.206396937
556	0.2061326555
557	0.205762879
558	0.2052925998
559	0.2051000041
560	0.2047710556
561	0.2044640607
562	0.2041042546
563	0.2036428087
564	0.2032171349
565	0.2030024843
566	0.2025684565
567	0.2022240247
568	0.2019557164
569	0.2015909705
570	0.2011906396
571	0.2006893444
572	0.2002402543
573	0.2000186891
574	0.1997910509
575	0.1995147154
576	0.1993389123
577	0.1989736297
578	0.198644734
579	0.1984300515
580	0.1981715564
581	0.1978738447
582	0.1975056662
583	0.1972108952
584	0.1969067391
585	0.1966238326
586	0.1962962764
587	0.1959260625
588	0.1954890514
589	0.1952731129
590	0.1949773183
591	0.194416873
592	0.1942126151
593	0.1938157307
594	0.193581237
595	0.1932394999
596	0.192712088
597	0.1924156939
598	0.1920443735
599	0.1918576708
600	0.1915017053
601	0.1913800483
602	0.1908645984
603	0.190592266
604	0.1902544373
605	0.1898924751
606	0.1895901033
607	0.1893185928
608	0.1890445077
609	0.1887447891
610	0.1883328942
611	0.1880318098
612	0.1876818962
613	0.1873707804
614	0.1870182484
615	0.1867566141
616	0.1864092675
617	0.1861677584
618	0.1859278017
619	0.1856022155
620	0.1853332051
621	0.1850332243
622	0.1849214416
623	0.184553391
624	0.1841998397
625	0.1838719088
626	0.1835838539
627	0.1832616831
628	0.1828852138
629	0.1825488685
630	0.1821010813
631	0.1818962618
632	0.1816591395
633	0.1812986281
634	0.1810886711
635	0.1807022943
636	0.1804442008
637	0.1799561736
638	0.1795105822
639	0.1793394892
640	0.1790347143
641	0.1786630273
642	0.1783907481
643	0.1780875555
644	0.177698429
645	0.1774774877
646	0.1772279231
647	0.1769627285
648	0.176682767
649	0.1764514737
650	0.1762249187
651	0.1759198256
652	0.1754899745
653	0.1752290972
654	0.1749001871
655	0.174585851
656	0.1742620624
657	0.1740370232
658	0.1737483134
659	0.1735331185
660	0.1731401946
661	0.1729005296
662	0.1725669569
663	0.1723599716
664	0.1718994203
665	0.1714716587
666	0.1711049466
667	0.1708107189
668	0.1704994248
669	0.1703312631
670	0.1700979889
671	0.1697710224
672	0.1694728905
673	0.1692045604
674	0.1687606872
675	0.1684324419
676	0.1681162736
677	0.1678584912
678	0.1676245775
679	0.1673554587
680	0.1670103794
681	0.1667698082
682	0.1666009585
683	0.1663196426
684	0.1661591356
685	0.1658754378
686	0.1656450304
687	0.1653873502
688	0.1651659415
689	0.1647904367
690	0.1645449117
691	0.1642270718
692	0.1640573589
693	0.1638596297
694	0.1634648805
695	0.1631628653
696	0.1629438529
697	0.1627279972
698	0.1623014522
699	0.1620256653
700	0.1617789202
701	0.1615060135
702	0.1611981519
703	0.1609404896
704	0.160742716
705	0.1604929617
706	0.160210727
707	0.1599999912
708	0.1598106926
709	0.1595318578
710	0.1593220828
711	0.1590778434
712	0.1587651606
713	0.1584880088
714	0.1582169168
715	0.1578212486
716	0.1576513009
717	0.1574073409
718	0.157091187
719	0.156873896
720	0.1566216218
721	0.1563569784
722	0.1561426868
723	0.1558099785
724	0.1555131287
725	0.1553351133
726	0.1551615701
727	0.1548784453
728	0.1545991696
729	0.1543826357
730	0.1541366623
731	0.1538415962
732	0.1535498155
733	0.1532294252
734	0.1529069534
735	0.1526658786
736	0.1524505115
737	0.1522710928
738	0.152012419
739	0.1516565995
740	0.1512552019
741	0.150924912
742	0.1506590396
743	0.1505018098
744	0.1503217085
745	0.1500575321
746	0.1497816692
747	0.1496263867
748	0.1493794636
749	0.1491213269
750	0.1488828291
751	0.1487893514
752	0.1485834969
753	0.1483154113
754	0.1480938869
755	0.1478673313
756	0.14760358
757	0.1473400312
758	0.1470377965
759	0.1468723766
760	0.1466382331
761	0.1463025295
762	0.1460278722
763	0.1457607818
764	0.1455919736
765	0.1453550851
766	0.1451566555
767	0.1449490118
768	0.1447474441
769	0.1445187202
770	0.144273802
771	0.144056031
772	0.1438720205
773	0.1436410963
774	0.1434370478
775	0.1431998902
776	0.1429916137
777	0.1427358742
778	0.1425476673
779	0.1423346567
780	0.1420370804
781	0.1418788098
782	0.1416877347
783	0.1414993285
784	0.1413177231
785	0.1410698904
786	0.1407330571
787	0.1404632787
788	0.1402131693
789	0.1399837345
790	0.139787832
791	0.1395279003
792	0.1393421582
793	0.1391677
794	0.1389843837
795	0.1386600714
796	0.1383046803
797	0.1380545877
798	0.137837225
799	0.1376366549
800	0.1374392754
801	0.1372519516
802	0.1370626383
803	0.1368502338
804	0.1366010222
805	0.1363984511
806	0.1362116481
807	0.1360042879
808	0.1357772606
809	0.1355914358
810	0.1353634523
811	0.1350655145
812	0.1348596092
813	0.1347240747
814	0.1344975286
815	0.134320765
816	0.1340856196
817	0.1338682509
818	0.1337374453
819	0.1333034642
820	0.1330721276
821	0.132822604
822	0.1325750415
823	0.1322523183
824	0.1320077893
825	0.1318249874
826	0.1316260754
827	0.1313823992
828	0.1312590085
829	0.1310083723
830	0.1308761126
831	0.1305796013
832	0.1304174642
833	0.1302159487
834	0.1300233373
835	0.1298596905
836	0.1296429749
837	0.1293986538
838	0.1292067677
839	0.1289996953
840	0.1288331195
841	0.1286261259
842	0.1284025366
843	0.12825904
844	0.1280768889
845	0.1278337239
846	0.127682871
847	0.1274937937
848	0.12729055
849	0.1270203433
850	0.1268020705
851	0.1266136245
852	0.1264039196
853	0.1262249336
854	0.1260761206
855	0.1258656371
856	0.1256176725
857	0.1254467757
858	0.1252263294
859	0.1250590067
860	0.1248634035
861	0.1246941071
862	0.1244491735
863	0.1242363443
864	0.124076802
865	0.1238815196
866	0.1236222503
867	0.1234802568
868	0.1233073231
869	0.1230893051
870	0.1228735998
871	0.1226774279
872	0.1225316046
873	0.1223777988
874	0.1222001966
875	0.1220377037
876	0.1218205225
877	0.1214917021
878	0.1213193354
879	0.1210919022
880	0.1208998705
881	0.1207127511
882	0.1205350158
883	0.1203144988
884	0.1201286988
885	0.1199108342
886	0.1197761614
887	0.1195421945
888	0.1193409283
889	0.1191353663
890	0.1189383909
891	0.1188060908
892	0.1186625379
893	0.1184945213
894	0.1182619342
895	0.1180356257
896	0.1178095682
897	0.1176550363
898	0.1174391552
899	0.1172466174
900	0.1170702299
901	0.1168988604
902	0.1167348986
903	0.1165763906
904	0.1164697328
905	0.1162693184
906	0.1160574184
907	0.1159320529
908	0.1157123784
909	0.1155094127
910	0.115277374
911	0.115074515
912	0.1149139241
913	0.1147075955
914	0.1145779052
915	0.1144169929
916	0.1141609416
917	0.1140255948
918	0.1139042174
919	0.1137147812
920	0.1135444589
921	0.1133606404
922	0.1132584464
923	0.1130738034
924	0.1128372699
925	0.1126733753
926	0.1125406386
927	0.1123668707
928	0.1122325517
929	0.1120434831
930	0.1119052148
931	0.1117841659
932	0.1116284197
933	0.1114584667
934	0.1112516719
935	0.1110892477
936	0.1108993146
937	0.110767047
938	0.1106481533
939	0.1104491799
940	0.1101858596
941	0.1099629991
942	0.1097720169
943	0.10960936
944	0.1094182957
945	0.1092463841
946	0.1089686816
947	0.1087672373
948	0.1086160187
949	0.1084787332
950	0.1083560762
951	0.1081908011
952	0.1080432109
953	0.1078628115
954	0.1076864946
955	0.1075292481
956	0.1074061939
957	0.1071837224
958	0.1070100468
959	0.1068735612
960	0.1066768056
961	0.1065049111
962	0.1062921169
963	0.1060619348
964	0.1058472756
965	0.105754107
966	0.1055731313
967	0.1054598566
968	0.1053050437
969	0.1051348932
970	0.1049265363
971	0.1047204219
972	0.1045910208
973	0.1044022717
974	0.1041645689
975	0.1040125559
976	0.103875785
977	0.1037503099
978	0.1035909001
979	0.1034807549
980	0.1033149251
981	0.1031811156
982	0.1030619718
983	0.1028501638
984	0.1027166477
985	0.1026010765
986	0.1023916414
987	0.1022446849
988	0.1020935514
989	0.1019075579
990	0.101756118
991	0.1016346914
992	0.1015018816
993	0.101321599
994	0.1011724229
995	0.1009502553
996	0.1007949103
997	0.1006429513
998	0.1004068653
999	0.1002803672
